pl_name,tic_id,hostname,ra,dec,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist
"K2-69 b","TIC 39928614","K2-69",335.7596816,-10.4886817,2016,7.06599000000,2.32000000,5.99000000,4127.00,0.491000,0.551000,180.69700000
"Kepler-229 b","TIC 399912169","Kepler-229",286.9994758,48.3757867,2014,6.25297200000,2.20000000,5.48000000,5120.00,0.728000,0.808000,826.26500000
"Kepler-1802 c","TIC 239291510","Kepler-1802",300.2420869,44.1412854,2021,33.13610077000,2.32200000,6.00000000,4245.00,0.637000,0.649000,636.69400000
"Kepler-97 c","TIC 399951991","Kepler-97",287.3265292,48.6733443,2014,789.00000000000,,344.00000000,5779.00,0.980000,0.940000,400.90700000
"Kepler-855 b","TIC 271431851","Kepler-855",295.0949565,43.5375650,2016,7.88663110400,8.35000000,52.70000000,5835.00,1.030000,1.030000,1506.58000000
"Kepler-338 b","TIC 258203303","Kepler-338",282.9790593,40.7844188,2014,13.72697600000,2.44000000,30.60000000,5923.00,1.735000,1.105000,552.79800000
"Kepler-1872 b","TIC 123230993","Kepler-1872",281.0491988,43.3225996,2021,3.82591009100,2.38421141,6.28000000,5223.00,0.885000,0.913000,840.18200000
"GSC 06214-00210 b","TIC 50175254","GSC 06214-00210",245.4776921,-20.7193398,2010,,20.17620000,5000.00000000,4200.00,0.904840,0.900000,108.50000000
"Kepler-434 b","TIC 270611401","Kepler-434",293.5863887,42.9288624,2015,12.87470990000,12.67000000,908.96000000,5977.00,1.380000,1.198000,1222.54000000
"Kepler-1471 b","TIC 416282121","Kepler-1471",289.6649171,50.0200612,2016,3.63899398000,1.41000000,2.57000000,5660.00,0.930000,0.950000,978.67800000
"EPIC 206042996 b","TIC 12785571","EPIC 206042996",337.5136198,-13.6101475,2019,5.29860000000,1.70000000,3.53000000,4114.00,0.500000,0.565000,451.76900000
"Kepler-301 c","TIC 48419097","Kepler-301",283.9829040,49.2329512,2014,5.41902600000,1.35000000,2.39000000,5815.00,0.900000,1.022000,719.16600000
"Kepler-971 b","TIC 120105003","Kepler-971",284.0945699,41.1828131,2016,9.59070716000,2.13000000,5.18000000,5431.00,0.850000,0.880000,338.52200000
"Kepler-619 b","TIC 417659212","Kepler-619",290.8490899,48.4159782,2016,5.40427219700,3.16000000,10.10000000,5980.00,1.110000,1.090000,900.67800000
"Kepler-81 b","TIC 270611154","Kepler-81",293.6369437,42.8248275,2012,5.95500000000,2.42000000,17.20000000,4385.00,0.590000,0.640000,348.29100000
