pl_name,tic_id,hostname,ra,dec,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist
TOI-677 b,TIC 280206394,TOI-677,144.1193594,-50.4630933,2020,11.2365985,13.11450742,392.20025424,6295.0,1.28,1.181,141.812
LP 890-9 b,TIC 44898913,LP 890-9,64.1309096,-28.3157909,2022,2.7299025,1.32,13.2,2850.0,0.1556,0.118,32.4298
KOI-94 d,TIC 273231214,KOI-94,297.3330716,41.8911186,2013,22.342989,11.27,106.0,6182.0,1.52,1.277,477.052
K2-68 b,TIC 38258419,K2-68,334.0195539,-10.5673649,2016,8.05428,1.58,3.12,4746.0,0.675,0.73,168.652
Kepler-716 c,TIC 159377404,Kepler-716,290.3931809,43.3638577,2020,3.96999,1.39281536,2.52,5012.0,0.742183,0.83,635.009
HD 131496 b,TIC 267365022,HD 131496,223.3461495,18.2352618,2011,896.0,13.4,572.094,4846.0,4.44,1.34,131.849
Kepler-1065 b,TIC 378012771,Kepler-1065,294.511319,38.7904648,2016,3.609308907,3.73,13.4,5635.0,0.93,0.94,1122.48
Kepler-356 b,TIC 137636895,Kepler-356,292.4210998,37.6827919,2014,4.612696,1.57,3.09,6133.0,1.335,1.163,707.559
Kepler-466 b,TIC 27644083,Kepler-466,295.6486585,48.4955191,2016,51.07926307,2.85,8.5,5927.0,1.05,1.04,530.122
K2-84 c,TIC 434133930,K2-84,55.8093566,16.6344396,2016,27.86,2.03,4.78,5652.0,0.93,0.95,284.876
Kepler-1052 c,TIC 271661839,Kepler-1052,295.34273,46.6022134,2023,180.921729,2.3,5.9,5818.0,0.848,0.937,943.444
KOI-13 b,TIC 158324245,KOI-13,286.9713876,46.8682463,2011,1.763588,16.948008,2949.4624,7650.0,1.74,1.72,519.096
Kepler-23 c,TIC 27083727,Kepler-23,294.2189131,49.4792536,2011,10.74,3.005,7.81,5828.0,1.548,1.078,835.756
Kepler-511 b,TIC 164456037,Kepler-511,282.9455384,47.5749181,2016,296.637865,6.35,33.1,5770.0,1.2,1.0,651.999
Kepler-1967 b,TIC 268604336,Kepler-1967,299.1376276,43.4984724,2021,7.281690121,0.73022577,0.315,4970.0,1.806,0.996,249.102
Kepler-793 b,TIC 139036121,Kepler-793,295.2167334,38.7744269,2016,4.24153639,1.37,2.45,5745.0,0.97,0.98,985.699
HD 128311 b,TIC 349606708,HD 128311,219.0032292,9.7454368,2002,453.019,13.5,562.24127,4965.0,0.76,0.828,16.3292
K2-376 b,TIC 117414377,K2-376,132.7193327,25.0380824,2022,5.776475,1.736,3.66,5937.0,1.149,0.908,161.61
HD 216770 b,TIC 47526465,HD 216770,343.9748751,-26.6595286,2003,118.45,14.1,181.1631,5399.0,0.93,0.74,36.6625
HD 112300 b,TIC 411188061,HD 112300,193.8988441,3.3972376,2023,466.63,12.2,5031.22368281,3657.0,65.8,1.4,62.07324
TOI-444 b,TIC 179034327,TOI-444,64.1839982,-26.7664071,2023,17.9636,2.77,8.1,5225.0,0.779,0.96,57.3973
K2-164 b,TIC 173090902,K2-164,171.933659,-0.0628488,2018,17.355066,3.24925008,10.6,5791.0,2.196069,1.180894,375.67
Kepler-130 c,TIC 121603794,Kepler-130,288.4505905,40.2452006,2014,27.50868,2.9,8.75,5879.0,1.17,1.0,316.663
NGTS-20 b,TIC 257527578,NGTS-20,46.2926368,-21.9336472,2022,54.18915,11.99360935,947.12865286,5980.0,1.78,1.47,382.898
Kepler-1717 b,TIC 27396246,Kepler-1717,295.2126472,49.56216,2021,30.65279961,2.98929758,9.21,6200.0,1.64,1.158,1008.79
Kepler-579 b,TIC 138959504,Kepler-579,295.0020771,39.9528613,2016,9.66857723,2.0,4.66,5636.0,0.96,0.99,530.765
Kepler-664 b,TIC 299033092,Kepler-664,288.7549029,48.226203,2016,2.525593315,2.66,7.56,5754.0,1.02,1.01,1210.12
Kepler-1417 b,TIC 122707371,Kepler-1417,290.9498966,40.605197,2016,20.3505213,1.0,0.972,5839.0,1.02,1.02,991.845
TOI-4363 b,TIC 325682877,TOI-4363,37.1105554,-12.5493631,2026,2.11867592279,1.76689273,3.77,4278.45,0.69132,0.62,77.7751
TOI-2373 b,TIC 332558858,TOI-2373,61.6862197,-16.7557546,2023,13.33668,10.42435205,2955.8041851,5651.0,1.102,1.041,508.686
TOI-5386 A b,TIC 202425357,TOI-5386 A,226.1069193,60.5362318,2025,3.62156552,14.70618268,155.10026262,6094.0,1.245,1.165,394.486
Kepler-1484 b,TIC 137816475,Kepler-1484,292.6842738,38.1262604,2016,30.4549136,2.11,5.1,5730.0,0.92,0.94,2879.83
Kepler-159 b,TIC 169082553,Kepler-159,297.0702037,40.868734,2014,10.139623,2.38,6.26,4625.0,0.663,0.628,373.744
Kepler-1712 b,TIC 48503881,Kepler-1712,284.998698,50.1466922,2021,13.81499958,2.28372556,5.83,3732.0,0.509,0.515,156.264
Kepler-660 b,TIC 158662352,Kepler-660,288.1382985,47.7245642,2016,9.27358194,2.57,7.13,4779.0,0.71,0.75,568.431
Kepler-616 b,TIC 271355361,Kepler-616,294.989137,46.8383058,2016,9.99761851,2.43,6.48,5753.0,0.97,0.98,945.775
Kepler-157 c,TIC 122716806,Kepler-157,291.0972257,38.8756049,2014,13.5405,2.24,5.65,5774.0,1.044,0.95,773.713
Kepler-166 c,TIC 26814955,Kepler-166,293.1600977,48.8812074,2014,34.260281,2.38,6.26,5413.0,0.742,0.811,603.53
Kepler-164 b,TIC 158561894,Kepler-164,287.7808115,47.6298453,2014,5.03503,1.41,2.57,5888.0,1.148,1.036,890.758
Kepler-91 b,TIC 352011875,Kepler-91,285.6729033,44.1167513,2013,6.24658,15.322703,257.4423,4550.0,6.3,1.31,1294.69
Kepler-331 b,TIC 351063265,Kepler-331,291.8343455,39.3073462,2014,8.457496,1.82,3.97,4347.0,0.492,0.653,580.119
TOI-1246 e,TIC 230127302,TOI-1246,251.1158702,70.4299917,2022,37.92548,3.5141875,14.5,5213.0,0.8649,0.8889,169.422
HD 141399 e,TIC 156067565,HD 141399,236.7235392,46.986288,2014,5000.0,14.1,209.7678,5600.0,1.387236,1.07,37.0169
HD 208527 b,TIC 283621278,HD 208527,329.0999413,21.239922,2012,875.5,12.5,3146.4,4035.0,51.1,1.6,312.202
HD 219134 h,TIC 283722336,HD 219134,348.3372026,57.1696255,2015,2247.0,12.7,108.0622,4913.0,0.77,0.794,6.53127
Kepler-1489 c,TIC 123312978,Kepler-1489,281.2957984,44.4654063,2024,0.680741,0.51,0.087,5565.53,0.957,0.977,1283.05
Kepler-254 b,TIC 158665380,Kepler-254,288.1646541,45.8164257,2014,5.826662,3.87,14.3,5957.0,0.91,0.849,1389.48
HD 20782 b,TIC 144503325,HD 20782,50.0166232,-28.8543535,2006,597.0643,13.6,472.83,5782.13,1.12681,1.04,35.9864
Kepler-152 c,TIC 158387462,Kepler-152,286.8653826,41.9889571,2014,88.255055,2.39,6.3,5088.0,0.724,0.779,441.09
