tic_id,planet_name,host_star,ra,dec,orbital_period_days,planet_radius_earth,planet_mass_earth,stellar_teff,stellar_radius,stellar_mass,distance_pc,discovery_year,class_label,class_id,source_catalog
268492383,Kepler-1892 b,Kepler-1892,299.081007,42.0180957,6.331230164,1.83707938,4.03,5383.0,0.759,0.851,851.595,2021,Planet,0,NASA Exoplanet Archive
197792776,HD 21693 c,HD 21693,51.8040469,-58.3232726,53.7357,4.34,17.37,5430.0,0.914378,0.8,33.255,2019,Planet,0,NASA Exoplanet Archive
406948151,Kepler-1693 c,Kepler-1693,290.2015581,48.1857799,5.363709927,0.97698289,0.894,5553.0,1.098,0.941,760.065,2021,Planet,0,NASA Exoplanet Archive
63284044,Kepler-1387 b,Kepler-1387,292.4403029,43.2093456,2.279526656,0.93,0.749,5046.0,0.77,0.82,455.358,2016,Planet,0,NASA Exoplanet Archive
158270568,Kepler-1263 b,Kepler-1263,286.483626,46.7526182,4.55139967,1.14,1.55,5213.0,0.8,0.84,664.83,2016,Planet,0,NASA Exoplanet Archive
349576261,TOI-4562 b,TOI-4562,112.0100593,-63.5177788,225.1064,12.53,732.0,6096.0,1.152,1.192,339.605,2023,Planet,0,NASA Exoplanet Archive
271763415,Kepler-1098 b,Kepler-1098,295.502673,43.2326992,2.543072855,1.3,2.24,5794.0,0.99,0.99,1049.19,2016,Planet,0,NASA Exoplanet Archive
224297258,TOI-1279 b,TOI-1279,185.0628734,56.2014094,9.61419,2.66146528,10.6,5457.0,0.8426,0.8784,107.055,2024,Planet,0,NASA Exoplanet Archive
281459670,HATS-30 b,HATS-30,5.618525,-59.9425892,3.1743516,13.170575,224.38798,5943.0,1.061,1.093,342.14,2016,Planet,0,NASA Exoplanet Archive
268390796,Kepler-1161 b,Kepler-1161,299.0770621,45.4405583,10.71252541,2.13,5.18,4253.0,0.57,0.59,547.726,2016,Planet,0,NASA Exoplanet Archive
158623531,WASP-105 b,WASP-105,24.1678686,-50.659308,7.87288,10.76064,572.094,5070.0,0.9,0.89,169.272,2017,Planet,0,NASA Exoplanet Archive
452867458,HD 66141 b,HD 66141,120.5662825,2.3350265,480.5,12.8,1906.9,4323.0,21.4,1.1,68.1509,2012,Planet,0,NASA Exoplanet Archive
239306899,Kepler-1593 b,Kepler-1593,300.4882018,44.4606698,174.509835,3.17,10.2,4995.0,0.77,0.81,638.249,2016,Planet,0,NASA Exoplanet Archive
271162671,Kepler-980 b,Kepler-980,294.6129869,45.060174,11.55102504,2.67,7.61,5935.0,1.06,1.05,961.468,2016,Planet,0,NASA Exoplanet Archive
27649847,TOI-521 b,TOI-521,123.3442567,12.2221079,1.54285047,1.98,5.3,3544.0,0.421,0.42,60.9425,2025,Planet,0,NASA Exoplanet Archive
148680230,HD 99706 c,HD 99706,172.1261621,43.9662025,1278.0,12.8,1808.4527,4891.0,5.4,1.72,146.6,2016,Planet,0,NASA Exoplanet Archive
296739893,TOI-620 b,TOI-620,142.1734459,-12.1671652,5.0988179,3.76,13.6,3708.0,0.55,0.577,33.0231,2022,Planet,0,NASA Exoplanet Archive
301051051,HD 20794 f,HD 20794,49.9997666,-43.0666533,647.6,2.28,5.82,5368.0,0.93,0.79,6.00278,2025,Planet,0,NASA Exoplanet Archive
269270853,Kepler-1570 b,Kepler-1570,299.8617842,45.8274232,26.548955,1.07,1.24,5550.0,0.89,0.92,918.995,2016,Planet,0,NASA Exoplanet Archive
271769940,Kepler-252 c,Kepler-252,295.579329,44.5459052,10.848463,2.15,5.27,4208.0,0.549,0.61,379.424,2014,Planet,0,NASA Exoplanet Archive
271164596,Kepler-1016 c,Kepler-1016,294.613689,45.9846265,105.6551369,3.68,13.1,5821.0,1.0,0.99,1402.82,2016,Planet,0,NASA Exoplanet Archive
